Birthday,Do you use any other BI Tool,Which Power BI section you like the most,Power BI Experience Rating,Quantum Data Rating
25-07-1993,Yes,Data Modelling,2,9
05-02-1984,Yes,All of the above,5,3
21-06-1997,Yes,DAX,2,8
22-03-2003,No,All of the above,4,9
21-03-1987,No,Dashboard Designing,1,3
31-08-1990,No,Data Modelling,5,6
13-12-1994,No,All of the above,1,9
28-09-1989,No,Power Query,1,6
20-09-1992,Yes,DAX,5,10
18-08-1998,Yes,Power Query,5,9
17-08-1999,No,DAX,1,7
25-05-1990,Yes,Data Modelling,4,10
15-09-2004,Yes,All of the above,4,7
28-08-2003,Yes,All of the above,4,9
09-04-2003,No,Power Query,4,2
20-12-1990,Yes,Power Query,4,1
12-06-2000,Yes,Data Modelling,4,3
19-07-1988,No,Dashboard Designing,4,6
31-07-2001,No,Power Query,4,3
17-08-1985,Yes,All of the above,4,9
30-12-2000,Yes,Data Modelling,4,5
28-01-2002,Yes,Power Query,4,7
25-09-2003,Yes,Data Modelling,4,1
14-02-1993,No,All of the above,4,6
20-02-1987,Yes,Power Query,4,8
15-10-1985,Yes,All of the above,4,1
03-10-1997,No,Dashboard Designing,4,6
09-04-1992,No,DAX,4,10
08-11-1991,No,Dashboard Designing,4,1
12-09-1988,No,All of the above,4,2
23-03-2001,No,Dashboard Designing,4,3
10-07-1996,No,Power Query,4,8
13-07-1995,No,Data Modelling,3,5
18-10-1995,No,Power Query,2,10
16-12-1997,No,All of the above,1,5
03-05-1990,Yes,Power Query,5,10
08-10-1996,Yes,Power Query,3,1
23-09-1994,No,Power Query,5,2
02-06-1987,Yes,DAX,5,6
16-02-2002,No,Power Query,3,5
11-06-1998,No,All of the above,1,4
22-06-1999,No,Data Modelling,5,2
05-03-1990,Yes,Dashboard Designing,3,10
21-01-1993,No,Data Modelling,1,1
06-12-1990,No,Dashboard Designing,2,6
19-01-1996,Yes,Data Modelling,5,5
16-08-1989,No,All of the above,5,2
15-10-1997,Yes,Dashboard Designing,5,2
08-03-2001,No,DAX,5,5
29-09-1990,Yes,All of the above,5,9
11-07-1993,Yes,DAX,5,8
21-06-1996,No,Dashboard Designing,5,9
20-09-1995,No,Dashboard Designing,5,1
07-07-1990,Yes,Dashboard Designing,5,5
10-04-2003,No,DAX,5,9
24-09-1992,No,Data Modelling,5,8
02-04-2003,Yes,Data Modelling,5,9
05-04-1993,No,DAX,5,1
13-06-1994,No,Data Modelling,5,10
12-02-1989,No,Dashboard Designing,5,5
12-06-1991,No,Data Modelling,5,5
06-03-2003,No,DAX,5,10
11-05-1992,Yes,Power Query,5,2
01-12-1992,No,DAX,5,3
11-12-1985,Yes,Power Query,5,4
13-02-1984,Yes,All of the above,5,9
15-02-1998,No,DAX,5,7
26-04-1994,Yes,Power Query,5,8
05-06-2003,Yes,Dashboard Designing,5,1
11-08-1987,No,DAX,5,9
08-09-1993,No,Data Modelling,5,6
25-01-2000,No,Power Query,5,7
21-05-1991,Yes,Dashboard Designing,5,4
28-10-2000,Yes,Data Modelling,5,5
29-01-1986,No,All of the above,5,1
18-10-2002,No,Data Modelling,5,7
25-03-1988,Yes,Data Modelling,5,7
15-04-1988,Yes,All of the above,5,5
22-11-2001,Yes,All of the above,5,10
29-07-2003,Yes,Data Modelling,5,5
10-01-2004,Yes,Data Modelling,5,6
27-10-1998,No,All of the above,5,6
30-09-1985,Yes,DAX,5,6
01-02-1993,No,Power Query,5,1
20-10-2003,No,All of the above,5,7
30-07-1986,No,Data Modelling,5,10
25-08-2002,No,Data Modelling,5,1
15-02-1995,Yes,Dashboard Designing,5,3
30-01-2001,Yes,All of the above,5,9
09-12-1994,Yes,Power Query,5,5
10-03-1999,No,Power Query,5,4
28-09-1995,Yes,DAX,5,10
06-03-2001,No,Data Modelling,5,8
08-01-1998,No,Power Query,5,8
09-12-2000,Yes,All of the above,5,6
30-05-1984,Yes,DAX,5,3
14-01-1992,No,Dashboard Designing,5,7
22-06-1987,No,DAX,5,8
09-08-2000,Yes,All of the above,5,1
15-01-1984,Yes,All of the above,5,4
28-11-2002,No,Power Query,5,1
11-04-2000,Yes,All of the above,5,4
19-08-1987,Yes,Power Query,5,7
25-08-1988,No,Dashboard Designing,5,3
24-05-1994,No,Data Modelling,5,8
10-09-1985,No,Power Query,5,5
04-04-1996,No,All of the above,5,2
30-08-1996,No,Data Modelling,5,8
04-11-1993,No,DAX,5,5
08-11-1991,No,All of the above,5,1
21-07-1987,No,DAX,5,8
01-01-1990,No,DAX,5,7
18-05-2001,Yes,Data Modelling,5,5
16-12-2004,No,Data Modelling,5,6
07-08-1991,No,DAX,5,6
10-10-1997,No,Dashboard Designing,5,2
26-12-1989,Yes,Power Query,5,9
04-06-1991,No,DAX,5,9
26-10-1992,No,Power Query,5,7
05-09-1996,Yes,All of the above,5,8
18-02-1996,No,DAX,5,7
16-06-2000,Yes,Dashboard Designing,5,2
11-12-1994,Yes,Dashboard Designing,5,5
17-12-1998,No,Power Query,5,10
21-11-2002,Yes,Dashboard Designing,5,9
20-05-2004,Yes,Dashboard Designing,5,10
18-09-1997,No,All of the above,5,6
23-05-1994,No,Data Modelling,5,10
20-11-2004,No,Data Modelling,5,6
10-03-1986,No,All of the above,5,4
23-01-1999,Yes,All of the above,5,5
28-06-1993,Yes,Data Modelling,5,9
10-11-1998,Yes,Data Modelling,5,10
03-04-1991,No,Data Modelling,5,2
21-11-2001,Yes,Dashboard Designing,5,8
10-07-1987,Yes,DAX,5,1
04-05-1985,No,All of the above,5,6
13-01-1984,Yes,Data Modelling,5,2
10-10-1990,No,All of the above,5,4
25-10-2000,No,Data Modelling,5,9
14-09-1988,No,Dashboard Designing,5,5
25-04-1988,No,All of the above,5,9
01-05-1990,No,Power Query,5,3
21-10-1999,Yes,Dashboard Designing,2,7
13-02-1991,No,Dashboard Designing,2,9
12-11-2001,Yes,Data Modelling,2,2
31-08-1989,No,Data Modelling,4,4
09-07-1991,Yes,DAX,1,1
17-04-1991,No,Power Query,5,6
16-03-1991,Yes,Data Modelling,2,1
28-05-1988,No,DAX,2,9
25-12-2004,Yes,DAX,5,3
23-04-1984,No,DAX,2,1
15-08-2002,No,DAX,1,2
30-03-2000,Yes,All of the above,4,4
08-07-2000,No,Data Modelling,1,6
08-11-1988,Yes,DAX,1,1
21-01-1986,Yes,Data Modelling,3,2
27-01-1989,No,Power Query,4,10
31-10-2001,No,Dashboard Designing,4,3
01-03-2003,Yes,All of the above,1,7
19-01-1992,Yes,DAX,2,2
29-07-1999,Yes,Dashboard Designing,5,8
12-07-1986,Yes,Dashboard Designing,3,6
26-10-1991,Yes,Dashboard Designing,4,2
02-07-1994,No,Power Query,3,5
25-01-1995,No,DAX,2,10
21-02-1994,Yes,All of the above,4,8
16-05-1998,No,Power Query,5,4
18-05-1987,Yes,Power Query,2,7
31-05-2001,No,DAX,2,1
23-08-1995,Yes,Dashboard Designing,3,6
31-10-1989,No,Data Modelling,5,7
07-08-1991,Yes,Power Query,3,6
29-01-1990,No,All of the above,5,2
01-06-1995,No,DAX,1,3
25-03-1994,No,Power Query,4,6
19-10-1997,Yes,Data Modelling,2,3
27-11-1992,No,Dashboard Designing,1,3
12-10-1992,No,DAX,1,4
04-06-1987,No,Data Modelling,5,6
05-10-1996,No,Data Modelling,4,8
08-07-1995,No,Power Query,1,5
07-02-1988,No,Power Query,3,2
01-04-1996,Yes,Dashboard Designing,5,8
29-06-1994,Yes,DAX,3,6
02-02-1988,Yes,DAX,4,10
10-08-2002,Yes,Dashboard Designing,4,9
01-05-1999,No,DAX,5,1
10-11-2001,No,DAX,4,7
18-02-1997,No,DAX,5,10
28-01-1990,No,Data Modelling,5,7
22-07-1992,No,Power Query,3,6
23-12-1996,No,All of the above,3,5
12-01-1989,Yes,Data Modelling,2,6
15-02-2000,No,DAX,4,6
15-09-2004,Yes,DAX,5,5
03-11-1989,No,All of the above,1,3
09-01-2001,Yes,All of the above,5,4
08-11-1989,No,Data Modelling,1,3
19-02-2003,No,Data Modelling,2,9
05-07-1999,No,Data Modelling,4,7
16-09-2003,Yes,Dashboard Designing,3,6
18-02-1990,Yes,DAX,5,4
26-12-1996,No,Power Query,5,2
03-05-1993,No,Dashboard Designing,5,6
13-10-1984,Yes,Power Query,1,4
25-04-2001,Yes,Data Modelling,4,2
29-10-1987,Yes,Data Modelling,4,9
14-03-2000,No,DAX,4,3
26-03-1997,No,DAX,4,9
03-12-1990,Yes,DAX,4,1
12-02-1985,No,Dashboard Designing,4,8
12-03-1994,Yes,Power Query,4,1
18-05-1996,No,DAX,4,3
06-10-1998,Yes,DAX,4,2
11-02-1994,Yes,Data Modelling,4,3
08-03-1988,Yes,DAX,4,2
09-10-1994,No,Data Modelling,4,7
05-10-2003,Yes,DAX,4,1
22-02-2001,No,Power Query,4,10
02-08-1998,Yes,All of the above,4,5
21-09-1991,No,All of the above,4,10
15-01-2000,Yes,Data Modelling,4,5
12-11-1987,No,All of the above,4,7
17-07-1990,No,All of the above,4,10
27-02-1997,Yes,DAX,4,3
20-04-1985,Yes,DAX,4,2
30-04-1995,No,Dashboard Designing,4,2
31-08-2000,No,All of the above,4,3
20-10-1992,No,DAX,4,9
22-12-1987,No,DAX,4,4
24-09-1999,No,All of the above,4,9
28-11-2001,Yes,DAX,4,1
08-10-1994,Yes,Dashboard Designing,4,6
21-11-1987,Yes,Dashboard Designing,4,4
09-07-1984,Yes,All of the above,4,9
04-08-1999,Yes,All of the above,4,1
30-11-1986,No,Data Modelling,4,5
15-07-1994,Yes,Power Query,4,2
05-12-1986,Yes,Power Query,4,4
26-11-1996,Yes,All of the above,4,9
22-01-2000,Yes,DAX,4,6
08-09-1985,Yes,Data Modelling,4,7
06-08-1993,Yes,Power Query,4,9
21-01-2001,No,Power Query,4,5
22-02-1997,No,All of the above,4,8
08-03-2005,No,DAX,4,8
15-03-1998,No,Dashboard Designing,4,7
21-07-2004,No,Data Modelling,4,8
28-07-1988,No,Dashboard Designing,4,6
18-01-1997,Yes,Data Modelling,4,7
17-10-1995,No,Dashboard Designing,4,8
10-03-1994,Yes,DAX,4,5
24-04-1992,No,Power Query,4,9
23-08-1995,No,Dashboard Designing,2,8
14-02-2003,No,All of the above,4,6
02-10-1984,No,Data Modelling,5,4
05-11-1990,No,Data Modelling,1,8
02-12-1987,No,DAX,5,3
24-01-2001,Yes,Data Modelling,1,3
11-08-1994,No,Power Query,1,8
24-11-2000,Yes,Data Modelling,1,5
22-05-1996,Yes,Dashboard Designing,5,9
05-09-2004,Yes,All of the above,5,5
04-05-2002,No,Power Query,5,3
09-10-1988,Yes,Power Query,1,6
20-12-1992,Yes,Power Query,5,1
18-08-1986,No,Power Query,2,9
19-12-1985,No,DAX,2,3
04-05-1986,No,Dashboard Designing,3,4
06-02-1985,Yes,All of the above,5,9
05-12-1987,Yes,DAX,3,7
23-02-1999,Yes,Power Query,1,3
11-04-1994,Yes,Data Modelling,4,6
30-08-2001,Yes,Power Query,2,9
25-08-1991,No,DAX,1,5
25-06-1991,Yes,All of the above,1,6
02-12-2002,Yes,DAX,4,7
09-06-1990,No,DAX,4,6
01-12-1986,Yes,DAX,3,9
27-06-1998,No,Dashboard Designing,5,10
10-05-1999,No,DAX,3,9
03-12-1995,No,Power Query,3,4
14-03-1987,No,Dashboard Designing,4,2
31-01-2003,No,Data Modelling,4,5
27-05-1984,Yes,Dashboard Designing,5,9
04-10-1992,No,Dashboard Designing,1,1
21-10-1999,Yes,All of the above,1,7
05-11-1999,No,Dashboard Designing,4,2
09-12-1995,No,Dashboard Designing,2,3
09-10-1991,Yes,Dashboard Designing,5,9
25-08-1985,No,All of the above,4,2
24-06-1993,Yes,DAX,4,1
22-09-2004,No,Data Modelling,4,5
05-03-1984,No,Power Query,4,3
18-03-1994,Yes,All of the above,4,4
14-01-2001,No,Data Modelling,4,10
25-03-1985,Yes,All of the above,4,5
11-04-1985,Yes,All of the above,4,1
11-11-1988,No,Power Query,4,7
09-09-1998,Yes,Data Modelling,4,4
16-10-1999,Yes,Data Modelling,4,4
14-07-1984,Yes,Power Query,4,1
12-12-1998,No,Dashboard Designing,4,9
11-07-1996,Yes,DAX,4,1
28-02-1984,No,Data Modelling,4,10
25-10-1999,No,All of the above,4,4
05-07-2000,No,Dashboard Designing,4,7
13-05-2001,No,DAX,4,8
17-02-2005,Yes,Data Modelling,4,1
30-01-2004,No,Dashboard Designing,4,8
15-12-1994,Yes,Dashboard Designing,4,8
06-03-1986,No,Dashboard Designing,4,7
26-08-1984,No,All of the above,4,4
11-05-2000,No,Power Query,4,6
31-05-1998,Yes,Dashboard Designing,4,3
09-02-1999,No,Data Modelling,4,2
02-06-1999,No,Power Query,4,6
12-12-1992,Yes,Power Query,4,8
08-03-1994,Yes,DAX,4,2
11-02-2003,Yes,Dashboard Designing,4,3
12-08-1985,No,Data Modelling,4,4
21-11-1993,Yes,Dashboard Designing,4,3
25-03-1990,No,DAX,4,5
06-07-1985,Yes,Dashboard Designing,4,8
17-04-1995,Yes,Power Query,4,10
09-07-1997,Yes,All of the above,4,5
28-11-1994,Yes,Power Query,4,2
27-03-2000,No,Dashboard Designing,4,2
09-04-1999,Yes,DAX,4,9
30-06-1999,No,All of the above,4,8
06-04-1987,No,DAX,4,8
06-04-1984,No,Dashboard Designing,4,9
24-01-2002,Yes,Dashboard Designing,3,9
15-07-1992,Yes,Data Modelling,2,9
01-01-2001,No,Dashboard Designing,3,8
09-02-2002,No,DAX,4,4
15-02-1984,Yes,Dashboard Designing,1,6
06-03-1986,Yes,Power Query,3,4
01-05-2002,No,DAX,5,4
21-06-1993,No,Power Query,5,5
12-11-1985,No,Data Modelling,2,3
11-04-1985,No,Dashboard Designing,2,8
02-02-1986,No,All of the above,2,10
06-11-1990,Yes,Power Query,5,3
31-05-1988,Yes,All of the above,4,9
21-01-2002,No,Power Query,2,10
31-10-1988,No,Dashboard Designing,1,5
14-02-1992,Yes,Dashboard Designing,5,4
01-01-1995,Yes,All of the above,4,8
20-03-1998,Yes,Data Modelling,3,2
20-08-1990,No,Data Modelling,2,3
16-02-1988,No,DAX,3,3
05-09-2002,No,DAX,1,9
24-02-1988,Yes,Power Query,2,10
19-01-2001,Yes,Data Modelling,1,7
10-01-1993,Yes,Dashboard Designing,5,6
08-11-1991,No,Dashboard Designing,2,8
30-04-2001,Yes,Power Query,1,2
07-07-2004,Yes,Dashboard Designing,2,1
17-12-2001,No,Dashboard Designing,1,7
21-07-1984,No,Data Modelling,4,8
18-02-1987,Yes,Power Query,1,7
15-11-1998,No,Dashboard Designing,4,2
02-05-2001,Yes,Dashboard Designing,5,3
12-07-1985,No,Power Query,5,5
19-04-1984,Yes,All of the above,3,8
16-12-1994,No,Power Query,5,9
15-03-2001,Yes,Dashboard Designing,1,8
12-02-1991,Yes,Dashboard Designing,3,2
27-07-1989,Yes,DAX,1,1
03-12-2004,Yes,Dashboard Designing,2,3
03-04-1990,Yes,All of the above,5,8
30-08-1995,Yes,Dashboard Designing,1,3
16-01-2001,No,Power Query,1,1
26-02-1986,No,Power Query,2,6
12-06-2000,No,DAX,1,7
17-12-2004,No,Dashboard Designing,5,1
25-08-2003,No,Power Query,4,9
23-06-1987,Yes,Dashboard Designing,4,5
10-07-1994,Yes,Power Query,3,6
07-06-2000,Yes,DAX,1,10
18-10-1989,Yes,Dashboard Designing,4,4
14-05-2000,Yes,All of the above,1,4
27-10-1986,No,All of the above,4,3
10-10-1992,Yes,Data Modelling,1,7
02-01-1987,Yes,Data Modelling,3,7
19-09-1987,No,DAX,3,3
25-07-1991,Yes,DAX,4,9
15-12-1997,No,Data Modelling,4,9
03-06-1988,Yes,DAX,4,10
22-03-1995,No,Power Query,3,10
02-03-2002,No,Dashboard Designing,3,3
24-10-1997,Yes,Dashboard Designing,2,9
14-10-1995,No,Dashboard Designing,5,5
05-11-1991,No,Dashboard Designing,4,10
29-05-1987,No,All of the above,4,4
04-04-1985,Yes,All of the above,1,2
14-08-2001,Yes,DAX,3,9
02-10-1986,No,Dashboard Designing,4,5
09-08-2002,No,Dashboard Designing,2,10
02-08-1985,Yes,Power Query,4,7
13-11-1990,Yes,DAX,3,8
15-09-1993,Yes,DAX,3,3
18-04-1998,Yes,Dashboard Designing,5,9
24-08-2004,No,Data Modelling,3,3
26-07-1995,No,Power Query,4,3
08-07-2001,No,Power Query,5,8
10-01-1984,No,DAX,2,6
09-12-1989,Yes,Dashboard Designing,2,5
10-09-2004,No,Data Modelling,5,4
06-01-1988,No,All of the above,5,7
28-06-1987,No,Dashboard Designing,5,3
17-03-1988,No,Power Query,5,7
25-02-1989,Yes,Power Query,5,2
12-01-1986,Yes,Dashboard Designing,5,2
22-07-1995,Yes,All of the above,5,8
25-07-1997,No,Power Query,5,1
01-03-1985,Yes,All of the above,5,8
06-06-1985,Yes,All of the above,5,8
29-07-2000,Yes,DAX,5,8
02-12-2002,Yes,Power Query,5,8
13-03-1991,No,Power Query,5,9
08-10-1986,No,DAX,5,1
27-09-2003,Yes,Data Modelling,5,10
07-03-1991,Yes,Data Modelling,5,7
09-06-1998,Yes,Dashboard Designing,5,3
07-10-1992,Yes,Data Modelling,5,2
14-05-1989,Yes,Dashboard Designing,5,5
12-01-2001,No,All of the above,5,8
20-08-1986,Yes,Dashboard Designing,5,3
20-04-2000,Yes,Power Query,5,9
30-12-1992,Yes,Dashboard Designing,5,8
15-08-2003,No,All of the above,5,2
16-03-1994,Yes,Dashboard Designing,5,7
01-02-1997,No,All of the above,5,6
27-08-1985,Yes,Power Query,5,1
29-09-2000,No,DAX,5,8
04-11-1991,Yes,Dashboard Designing,5,9
12-10-1996,No,DAX,5,2
17-01-1991,No,Dashboard Designing,5,8
17-08-1985,Yes,Power Query,5,10
21-12-1995,No,All of the above,5,6
06-04-2005,No,Power Query,5,1
19-12-1994,Yes,Power Query,5,1
20-03-1994,No,Dashboard Designing,5,1
29-04-1989,Yes,Dashboard Designing,5,4
14-02-1984,No,Data Modelling,5,9
03-06-1998,Yes,Power Query,5,1
18-08-2000,Yes,Power Query,5,7
20-07-2000,Yes,Data Modelling,5,2
03-01-1987,Yes,All of the above,5,9
25-08-2003,No,Dashboard Designing,5,6
03-04-1990,No,All of the above,5,10
20-02-1996,No,DAX,5,4
01-06-1997,Yes,All of the above,5,1
31-10-1985,No,Data Modelling,5,5
30-07-1998,Yes,DAX,5,2
06-09-2002,No,DAX,5,10
22-08-2001,Yes,Power Query,5,1
31-10-1994,No,Power Query,5,4
05-05-1995,No,All of the above,5,8
14-12-1996,Yes,DAX,5,8
06-01-1987,No,DAX,5,5
22-07-1996,No,DAX,5,5
09-03-1997,No,Dashboard Designing,4,4
01-09-1987,Yes,DAX,2,2
23-03-1998,No,All of the above,3,4
11-01-1992,No,DAX,4,2
17-04-1996,Yes,Power Query,4,4
11-10-1987,No,Dashboard Designing,4,9
22-07-1995,Yes,Dashboard Designing,4,3
22-03-1989,Yes,Power Query,4,7
27-08-1986,No,Data Modelling,4,10
09-06-1991,Yes,All of the above,4,3
11-05-1984,Yes,All of the above,4,1
04-02-1996,Yes,Power Query,4,3
04-01-1987,No,DAX,4,6
07-09-1988,Yes,All of the above,4,2
27-08-2004,No,Dashboard Designing,4,2
12-10-1991,Yes,Data Modelling,4,9
29-11-1988,No,Dashboard Designing,4,1
23-07-2003,Yes,Power Query,4,3
02-12-2001,No,Power Query,4,10
18-04-2004,Yes,DAX,4,8
25-02-1997,No,Dashboard Designing,2,6
24-12-1999,No,DAX,2,3
29-09-1993,No,Dashboard Designing,5,1
04-11-1992,Yes,Power Query,1,5
